title,wikipedia,wikidata,subject
RE:Asturco,,,
RE:Asturia,,,
RE:Archias 57,,,
RE:victimarius,,,
RE:Tyrtaios 2,,,
Melcumani,,,
RE:Vicinium,,,
RE:Archias 59,,,
RE:Archias 43,,,
RE:Victor 11,,,
RE:Victor 1,,,
RE:Asturae,,,
RE:Archias 39,,,
RE:vici magister,,,
RE:Victor 5,,,
RE:Archias 44,,,
RE:Vicellinus,,,
RE:Victor 8,,,
RE:Archias 54,,,
RE:Vicesima 2,,,
RE:Archias 60,,,
RE:Victor 6,,,
RE:Archias 47,,,
RE:Victo(h)ali,,,
RE:Victor,,,
RE:Archias 50,,,
RE:Archias 42,,,
RE:Archias 38,,,
RE:Bidzos,,,
RE:Victor 12,,,
RE:Archias 45,,,
RE:Archias 51,,,
RE:Archias 52,,,
RE:Archias 53,,,
RE:Victa,,,
RE:Victor 14,,,
RE:Archias 46,,,
RE:Archias 58,,,
RE:Gynada,,,
RE:Archias 56,,,
RE:Astura 4,,,
RE:Archias 55,,,
RE:Vicis,,,
RE:Vicesima 1,,,
RE:Archias 40,,,
RE:Archias 48,,,
RE:Bidigis,,,
RE:Archias 41,,,
RE:Victor 7,,,
RE:Victor 13,,,
RE:Archias 49,,,
RE:Ad Vicesimum 5ff.,,,
RE:Aphamios 3,,,
RE:Archias 37,,,
RE:Tyrsenos,,,
RE:Archias 26,,,
RE:Archias 32,,,
RE:Τυβιάκαι,,,
RE:Tymphaioi,,,
RE:Kleitarchos 3,,,
RE:Archias 25,,,
RE:Apadna,,,
RE:Kleochares 5,,,
RE:Archias 31,,,
RE:Kleochos,,,
RE:Apomoira,,,
RE:Archias 33,,,
RE:Tyrrhenos 4,,,
RE:Archias 29,,,
RE:Archias 28,,,
RE:Τυναδεῖς,,,
RE:Tyndaridai 2,,,
RE:Kleitarchos 4,,,
RE:Tymphaia,,,
RE:Tyndarion,,,
RE:Aphamios 2,,,
RE:Tymphrestos,,,
RE:Kleitodemos,,,
RE:Tyrrhenos 2,,,
RE:Kleite 5,,,
RE:Agamemnon 3,,,
RE:Archias 24,,,
RE:Apelleas,,,
RE:Archias 36,,,
RE:Tyberisos,,,
RE:Tynchanius,,,
RE:Kleitarchos 5,,,
RE:Tyrria(s),,,
RE:Tutus 3,,,
RE:Apadnas,,,
RE:Tymphe,,,
RE:Tyrrhenos 3,,,
RE:Archias 35,,,
RE:Archias 34,,,
RE:Archias 27,,,
RE:Aphrodisios 11a,,,
RE:Archias 11a,,,
RE:Tycae,,,
RE:Tychandros,,,
RE:Archias 30,,,
RE:Lenius,,,
RE:Tutinius 2,,,
RE:Turrenia,,,
RE:Triglenos,,,
RE:Turres 2,,,
RE:Triggua,,,
RE:Trucculensis Portus,,,
RE:Μελιτούσιος,,,
RE:Melitussa,,,
RE:Tutinius 1,,,
RE:Meliton 3,,,
RE:Trigibildos,,,
RE:Tutorius,,,
RE:Mella 2,,,
RE:Tutonia,,,
RE:Μέλιττα,,,
RE:Μελιτουσαῖος,,,
RE:Turpilius 4,,,
RE:Melitonus,,,
RE:Melkynda,,,
RE:Tutilius 5,,,
RE:Melizitanum,,,
RE:Turpilius 2,,,
RE:Tutizar,,,
RE:Turres 1,,,
RE:Turpilius 1,,,
RE:Trigletta,,,
RE:Turpio 1,,,
RE:Μελκομένιοι,,,
RE:Tutula,,,
RE:Melitone,,,
RE:Tuncarsi,,,
RE:Meliton 4,,,
RE:Turpilius 8,,,
RE:Turpilius 3,,,
RE:Turpilius 5,,,
RE:Trigleia,,,
RE:Turpidius,,,
RE:Tutilius 3,,,
RE:Agrianome 2,,,
RE:Tutius,,,
RE:Turpilius 9,,,
RE:Tutor,,,
RE:Tutilius 4,,,
RE:Μέλλακες,,,
RE:Tutunus,,,
RE:Melizeigara,,,
RE:Turpilius 6,,,
RE:Tullius 63,,,
RE:Trigeminus,,,
RE:Attalos 1,,,
RE:Lenaiobakchios,,,
RE:Lemnias,,,
RE:Lemnos,,,
RE:Lenda,,,
RE:Λημνίαι νύμφαι,,,
RE:Attalis 2,,,
RE:Attalos 2,,,
RE:Lemellef,,,
RE:Lemurinus,,,
RE:Attalos 4,,,
RE:Bibline,,,
RE:Lemnia 1,,,
RE:Attalos 3,,,
RE:Attalos 8,,,
RE:Attalikos,,,
RE:Lembos 2,,,
RE:Attaleion,,,
"RE:Trienses, Aestrienses",,,
RE:Lemuris,,,
RE:Lemincum,,,
RE:Lemna,,,
RE:Lenocinium,,,
RE:Atta 2,,,
RE:Trigetius,,,
RE:Lenaios 2,,,
RE:Attalos 5,,,
RE:Lenaios 3,,,
RE:Attalio,,,
RE:Leneus,,,
RE:Biblos 1,,,
RE:Attalos 7,,,
RE:Lennium,,,
RE:Atta 1,,,
RE:Attalis 1,,,
RE:Biblia,,,
RE:Lenai,,,
RE:Lenaion,,,
RE:Lemesos,,,
RE:Attalos 6,,,
RE:Belela,,,
RE:Agesistratos,,,
RE:Attalistai,,,
RE:Attaleia 4,,,
RE:Lemnis,,,
RE:Attaleia 1,,,
RE:Attabas,,,
RE:Astura 1,,,
RE:Atagis,,,
RE:Bias 6,,,
RE:Attacori,,,
RE:Attae 2,,,
RE:Atabulus,,,
RE:Attaia 1,,,
RE:Bias 3,,,
RE:Ἀττάκης,,,
RE:Bias 5,,,
RE:Attagaina,,,
RE:Bias 4,,,
RE:Bibastos,,,
RE:Atacam,,,
RE:Attala,,,
RE:Bianor 4,,,
RE:Attaleia 3,,,
RE:Attacum,,,
RE:Astura 3,,,
RE:Astrybai,,,
