title,wikipedia,wikidata,subject
RE:Atal,,,
RE:Duda,,,
RE:Ductio debitoris,,,
RE:Atalante 1,,,
RE:Asturia,,,
RE:Ataia 1,,,
RE:Victor 12,,,
RE:Ataia 2,,,
RE:Victor 13,,,
RE:Atalante 2,,,
Melcumani,,,
RE:Ducepratum,,,
RE:Ducetius,,,
RE:Asturae,,,
RE:Asturco,,,
RE:Astura 4,,,
RE:Domitius 28,,,
RE:Victor 11,,,
RE:Victor 14,,,
RE:Bidzos,,,
RE:Bidigis,,,
RE:Archias 38,,,
RE:Victa,,,
RE:victimarius,,,
RE:Gynada,,,
RE:Archias 31,,,
RE:Archias 34,,,
RE:Archias 50,,,
RE:Vicesima 1,,,
RE:Archias 44,,,
RE:Archias 58,,,
RE:Victor 1,,,
RE:Archias 52,,,
RE:Archias 46,,,
RE:Archias 40,,,
RE:Vicesima 2,,,
RE:Victo(h)ali,,,
RE:Archias 51,,,
RE:Archias 57,,,
RE:Victor 6,,,
RE:Victor,,,
RE:Archias 43,,,
RE:Tyrtaios 2,,,
RE:Archias 39,,,
RE:Archias 35,,,
RE:Archias 42,,,
RE:Victor 8,,,
RE:Archias 47,,,
RE:Archias 49,,,
RE:Archias 30,,,
RE:Victor 7,,,
RE:Vicellinus,,,
RE:Ad Vicesimum 5ff.,,,
RE:Archias 45,,,
RE:Vicis,,,
RE:Archias 56,,,
RE:Victor 5,,,
RE:Archias 32,,,
RE:Archias 29,,,
RE:Archias 36,,,
RE:Archias 53,,,
RE:Archias 55,,,
RE:Archias 59,,,
RE:Vicinium,,,
RE:Archias 48,,,
RE:Archias 37,,,
RE:vici magister,,,
RE:Archias 33,,,
RE:Archias 54,,,
RE:Archias 60,,,
RE:Archias 41,,,
RE:Tutius,,,
RE:Tutinius 2,,,
RE:Tymphe,,,
RE:Kleitarchos 4,,,
RE:Tyndarion,,,
RE:Tutorius,,,
RE:Apomoira,,,
RE:Tutizar,,,
RE:Tyrrhenos 2,,,
RE:Tyrrhenos 3,,,
RE:Archias 11a,,,
RE:Apelleas,,,
RE:Apadnas,,,
RE:Agamemnon 3,,,
RE:Kleochos,,,
RE:Tymphaioi,,,
RE:Τυβιάκαι,,,
RE:Apadna,,,
